25时miku,25-ji miku
花咲雅（Hololive）,hanasaki miyabi
花咲蕾（Heartcatch 光之美少女！）,hanasaki tsubomi
花里实乃理（世界计划）,hanasato minori
花园多惠（BanG Dream!）,hanazono tae
花园百合铃（邪神与厨二病少女）,hanazono yurine
伴田路子（偶像大师百万现场）,handa roco
羽川翼（物语系列）,hanekawa tsubasa
韩吉·佐耶（进击的巨人）,hange zoe (shingeki no kyojin)
埴安神袿姬（东方Project）,haniyasushin keiki
汉娜·尤丝缇娜·马尔塞尤（强袭魔女）,hanna-justina marseille
古手羽入（寒蝉鸣泣之时）,hanyuu
快乐米可（赛马娘),happy meek (umamusume)
原村和（天才麻将少女）,haramura nodoka
小钩晴（碧蓝档案),hare (blue archive)
针目缝（斩服少女）,harime nui
小丑女（哈莉·奎茵）（漫威系列）,harley quinn
和弦（明日方舟),harmonie (arknights)
哈啰（机动战士高达）,haro (gundam)
春乌拉拉（赛马娘),haru urara (umamusume)
春原晴子（FLCL: Shoegaze）,haruhara haruko
伊草春香（碧蓝档案),haruka (blue archive)
春花（闪乱神乐),haruka (senran kagura)
春川魔姫（弹丸论破）,harukawa maki
春风（舰队Collection),harukaze (kancolle)
榛名（泳装)（舰队Collection),haruna (2016 swimsuit) (kancolle)
黑馆晴奈（碧蓝档案),haruna (blue archive)
榛名（舰队Collection),haruna (kancolle)
黑馆晴奈（体操服)（碧蓝档案),haruna (track) (blue archive)
榛名改二（舰队Collection),haruna kai ni (kancolle)
春野遥（Go！ Princess光之美少女）,haruno haruka
春野樱（火影忍者）,haruno sakura
春雨（舰队Collection),harusame (kancolle)
羽濑川小鸠（我的朋友很少）,hasegawa kobato
嘴平伊之助（鬼灭之刃）,hashibira inosuke (kimetsu no yaiba)
桥本喵（阿松）,hashimoto nyaa
静谧哈桑（Fate/Grand Order),hassan of serenity (fate)
八尺大人（都市传说）,hasshaku-sama
羽川莲见（碧蓝档案),hasumi (blue archive)
羽川莲见(体操服)（碧蓝档案),hasumi (track) (blue archive)
秦心（东方Project）,hata no kokoro
旗风（舰队Collection),hatakaze (kancolle)
秦谷美铃（学园偶像大师）,hataya misuzu
迷布莉姆（宝可梦）,hatenna
鳩羽つぐ（VTuber）,hatoba tsugu
初春（舰队Collection),hatsuharu (kancolle)
初风（舰队Collection),hatsukaze (kancolle)
发目明（我的英雄学院）,hatsume mei
初音（公主连接),hatsune (princess connect!)
初音未来,hatsune miku
初音未来(append),hatsune miku (append)
初音未来(nt),hatsune miku (nt)
初音未来(vocaloid4),hatsune miku (vocaloid4)
初音默言,hatsune mikuo
初霜（舰队Collection),hatsushimo (kancolle)
初鸟创（细胞神曲）,hatsutori hajime
初雪（舰队Collection),hatsuyuki (kancolle)
初月（舰队Collection),hatsuzuki (kancolle)
霍克斯（我的英雄学院）,hawks (boku no hero academia)
早川秋（电锯人）,hayakawa aki
骏川手纲（赛马娘）,hayakawa tazuna
速水奏（偶像大师灰姑娘女孩）,hayami kanade
早波（舰队Collection),hayanami (kancolle)
早坂爱（辉夜大小姐想让我告白）,hayasaka ai
早霜（舰队Collection),hayashimo (kancolle)
早潮（舰队Collection),hayashio (kancolle)
速吸（舰队Collection),hayasui (kancolle)
哈扎马（苍翼默示录）,hazama
叶月恋（LoveLive! Superstar!!),hazuki ren
平安名堇（LoveLive! Superstar!!),heanna sumire
希瑟·梅森（寂静岭）,heather mason
重巡夏姬（舰队Collection）,heavy cruiser princess
赫卡提亚·拉碧斯拉祖利（东方Project）,hecatia lapislazuli
赫克托耳（Fate/Grand Order),hector (fate)
希罗·尤尔（新机动战记高达W),heero yuy
黑（黑之契约者),hei (darker than black)
海德玛瑞·W·施瑙佛（强袭魔女),heidimarie w. schnaufer
海茵莉凯·塞因·维特根斯坦因亲王（强袭魔女）,heinrike prinzessin zu sayn-wittgenstein
平和岛静雄（无头骑士异闻录）,heiwajima shizuo
海伦娜（碧蓝航线e),helena (azur lane)
海伦娜（舰队Collection）,helena (kancolle)
海伦娜·布拉瓦茨基（Fate/Grand Order),helena blavatsky (fate)
赫尔艾斯（碧蓝幻想),heles
赫丽安图丝（少女前线),helianthus (girls' frontline)
Hello Kitty（三丽鸥),hello kitty (character)
海伦（Nikke),helm (nikke)
安丽埃塔·德·托里斯汀（零之使魔）,henrietta de tristain
Henya the Genius（VShojo）,henya the genius
赫敏·格兰杰（哈利波特）,hermione granger
勇者（勇者斗恶龙3),hero (dq3)
勇者（勇者斗恶龙5),hero (dq5)
英雄（OMORI),hero (omori)
勇者的女儿（勇者斗恶龙5),hero's daughter (dq5)
heroine（homicipher),heroine (homicipher)
黑塔（崩坏：星穹铁道),herta (honkai  star rail)
压切长谷部（刀剑乱舞）,heshikiri hasebe
赫斯缇雅（在地下城寻求邂逅是否搞错了什么),hestia (danmachi)
灵异迷（宝可梦),hex maniac (pokemon)
云雀（闪乱神乐),hibari (senran kagura)
猫冢响（碧蓝档案),hibiki (blue archive)
猫冢响（啦啦队）（碧蓝档案),hibiki (cheer squad) (blue archive)
响（舰队Collection),hibiki (kancolle)
响良牙（乱马½）,hibiki ryouga
响裕太（电光超人古立特),hibiki yuuta
芙蓉（明日方舟),hibiscus (arknights)
稗田阿求（东方Project）,hieda no akyuu
比叡（舰队Collection),hiei (kancolle)
比叡改二（舰队Collection),hiei kai ni (kancolle)
法皇之绿（JOJO的奇妙冒险）,hierophant green
日富美（碧蓝档案),hifumi (blue archive)
日富美（泳装）（碧蓝档案),hifumi (swimsuit) (blue archive)
东刹那（FRESH光之美少女！）,higashi setsuna
东方仗助（JOJO的奇妙冒险）,higashikata josuke
东山小红（电锯人）,higashiyama kobeni
髭切（刀剑乱舞),higekiri (touken ranbu)
妖精弓手（哥布林杀手),high elf archer (goblin slayer!)
神官（仙境传说),high priest (ragnarok online)
樋口枫（彩虹社）,higuchi kaede
樋口枫（初始服装）（彩虹社）,higuchi kaede (1st costume)
樋口圆香（偶像大师闪耀色彩）,higuchi madoka
日暮戈薇（犬夜叉）,higurashi kagome
柊镜（幸运星）,hiiragi kagami
柊筱娅（终结的炽天使）,hiiragi shinoa
柊司（幸运星）,hiiragi tsukasa
柊舞缇娜（憧憬成为魔法少女）,hiiragi utena
柊柚子（游戏王ARC-V）,hiiragi yuzu
圣扬羽（美妙宠物光之美少女！）,hijiri ageha
圣白莲（东方Project）,hijiri byakuren
日影（闪乱神乐),hikage (senran kagura)
冰上堇（偶像活动）,hikami sumire
橘 光（碧蓝档案),hikari (blue archive)
冰川日菜（BanG Dream!）,hikawa hina
冰川伊绪奈（HappinessCharge光之美少女！）,hikawa iona
冰川纱夜（BanG Dream!）,hikawa sayo
斗也（宝可梦),hilbert (pokemon)
斗子（宝可梦),hilda (pokemon)
希尔妲·凡伦汀·哥纳利尔（火焰之纹章风花雪月）,hilda valentine goneril
瓦尔基里（Fate/Grand Order),hildr (fate)
丘丘人（原神),hilichurl (genshin impact)
明星日鞠（碧蓝档案),himari (blue archive)
姬岛朱乃（恶魔高校）,himejima akeno
姬海棠羽立（东方Project）,himekaidou hatate
姬子（崩坏：星穹铁道),himeko (honkai  star rail)
姬宫千歌音（神无月的巫女）,himemiya chikane
姬宫桃李（偶像梦幻祭）,himemiya tori
姬森璐娜（Hololive）,himemori luna
姬森璐娜（初始服装）（Hololive）,himemori luna (1st costume)
姬森璐娜（连身裙)（Hololive）,himemori luna (sundress)
姬野（电锯人),himeno (chainsaw man)
姬柊雪菜（噬血狂袭）,himeragi yukina
姬坂乃爱（天使降临我身边！）,himesaka noa
姬崎莉波（学园偶像大师）,himesaki rinami
辛美尔（葬送的芙莉莲),himmel (sousou no frieren)
绯村剑心（浪客剑心）,himura kenshin
空崎日奈（碧蓝档案),hina (blue archive)
空崎日奈（礼服）（碧蓝档案),hina (dress) (blue archive)
妃娜（少女乐队的呐喊),hina (girls band cry)
空崎日奈（睡衣）（碧蓝档案),hina (pajamas) (blue archive)
空崎日奈（泳装）（碧蓝档案),hina (swimsuit) (blue archive)
雏莓（蔷薇少女）,hinaichigo (rozen maiden)
比那名居天子（东方Project）,hinanawi tenshi
若叶日向（碧蓝档案),hinata (blue archive)
若叶日向（泳装）（碧蓝档案),hinata (swimsuit) (blue archive)
日向创（弹丸论破）,hinata hajime
日向夏帆（调教咖啡厅）,hinata kaho
日向夏咲（车轮之国向日葵的少女）,hinata natsumi
葵日向（偶像梦幻祭）,hinata shouyou
阳夏木蜜柑（街角魔族）,hinatsuki mikan
雏鹤爱（龙王的工作！）,hinatsuru ai
兴登堡（碧蓝航线),hindenburg (azur lane)
兴登堡（换装：微醺胜负)（碧蓝航线),hindenburg (delirious duel) (azur lane)
日野茜（偶像大师),hino akane (idolmaster)
日野 あかね（光之美少女),hino akane (smile precure!)
火野丽（美少女战士）,hino rei
火芽（怪物猎人）,hinoa
火乃香（火焰之纹章),hinoka (fire emblem)
日野森志步（世界计划）,hinomori shiho
日野森雫（世界计划）,hinomori shizuku
日野下花帆（LoveLive！！莲之空女子学院）,hinoshita kaho
火威青（Hololive）,hiodoshi ao
河马（兽娘动物园),hippopotamus (kemono friends)
平贺才人（零之使魔）,hiraga saito
平泽忧（K-oN 轻音少女）,hirasawa ui
平泽唯（K-oN 轻音少女）,hirasawa yui
平户（舰队Collection),hirato (kancolle)
广（darling in the franxx),hiro (darling in the franxx)
广井菊里（孤独摇滚）,hiroi kikuri
广濑康一（JOJO的奇妙冒险）,hirose koichi
广濑康穗（JOJO的奇妙冒险）,hirose yasuho
飞龙（舰队Collection),hiryuu (kancolle)
飞龙改二（舰队Collection),hiryuu kai ni (kancolle)
久石奏（吹响！上低音号）,hisaishi kanade
久川飒（偶像大师灰姑娘女孩）,hisakawa hayate
久川凪（偶像大师灰姑娘女孩）,hisakawa nagi
久宇舞弥（Fate/Zero）,hisau maiya
菱曙（赛马娘),hishi akebono (umamusume)
菱钻奇宝（赛马娘),hishi miracle (umamusume)
菱川六花（心跳！光之美少女）,hishikawa rikka
翡翠（月姬),hisui (tsukihime)
常陆茉子（千恋万花）,hitachi mako
瞳（死或生),hitomi (doa)
一柳梨璃（突击莉莉）,hitotsuyanagi riri
槌永日和（碧蓝档案),hiyori (blue archive)
槌永日和（泳装）（碧蓝档案),hiyori (swimsuit) (blue archive)
飞鹰（舰队Collection),hiyou (kancolle)
hk416（黑猫的赠礼)（少女前线),hk416 (black kitty's gift) (girls' frontline)
hk416（少女前线),hk416 (girls' frontline)
霍尔海雅（明日方舟),ho'olheyak (arknights)
Hod（脑叶公司),hod (project moon)
北条加莲（偶像大师灰姑娘女孩）,hojo karen
北港火山（赛马娘),hokko tarumae (umamusume)
赫萝（狼与香辛料）,holo
吼姆（崩坏学园),homu (honkai impact)
焰（闪乱神乐),homura (senran kagura)
本田未央（偶像大师灰姑娘女孩）,honda mio
骨喰藤四郎（刀剑乱舞）,honebami toushirou
红美玲（东方Project）,hong meiling
本间向日葵（彩虹社）,honma himawari
本间芽衣子（未闻花名）,honma meiko
穗香（死或生),honoka (doa)
火奴鲁鲁（碧蓝航线),honolulu (azur lane)
火奴鲁鲁（舰队Collection),honolulu (kancolle)
火奴鲁鲁（日伞的彼女)（碧蓝航线),honolulu (umbrella girl) (azur lane)
赫普（宝可梦),hop (pokemon)
毽子草（宝可梦）,hoppip
堀裕子（偶像大师灰姑娘女孩）,hori yuko
堀川雷鼓（东方Project）,horikawa raiko
号角（明日方舟),horn (arknights)
大黄蜂（碧蓝航线),hornet (azur lane)
大黄蜂（舰队Collection),hornet (kancolle)
奥尔坦希亚（火焰之纹章),hortensia (fire emblem)
星辉子（偶像大师灰姑娘女孩）,hoshi syoko
星熊（明日方舟),hoshiguma (arknights)
星熊勇仪（东方Project）,hoshiguma yuugi
星熊勇仪（和服）（东方Project）,hoshiguma yuugi (kimono)
星井美希（偶像大师）,hoshii miki
星川莉莉（佐贺偶像是传奇）,hoshikawa lily
星川莎拉（彩虹社）,hoshikawa sara
星川莎拉（初始服装）（彩虹社）,hoshikawa sara (1st costume)
星街彗星（Hololive）,hoshimachi suisei
星街彗星（初始服装）（Hololive）,hoshimachi suisei (1st costume)
星街彗星（casual)（Hololive）,hoshimachi suisei (casual)
星街彗星（学校制服)（Hololive）,hoshimachi suisei (school uniform)
星见纯那（少女歌剧）,hoshimi junna
星见雅（绝区零）,hoshimi miyabi
星宫莓（偶像活动）,hoshimiya ichigo
星宫凯特（世界征服谋略之星）,hoshimiya kate
星奈光（光之美少女）,hoshina hikaru
保科智子（ToHeart）,hoshina tomoko
星野（碧蓝档案),hoshino (blue archive)
星野（一年生)（碧蓝档案),hoshino (first year) (blue archive)
星野（泳装)（碧蓝档案),hoshino (swimsuit) (blue archive)
星野爱,hoshino ai
星野爱（我推的孩子),hoshino ai (oshi no ko)
星野爱久爱海（我推的孩子）,hoshino aquamarine
星野文奈（敢达创战者）,hoshino fumina
星野日向（天使降临我身边！（喵内~））,hoshino hinata
星乃一歌（世界计划),hoshino ichika (project sekai)
星野宫子（天使降临我身边！),hoshino miyako (wataten)
星野瑠美衣（我推的孩子）,hoshino ruby
星野琉璃（机动战舰抚子号）,hoshino ruri
星野梦美（星象馆）,hoshino yumemi (planetarian)
星空育代（smile！光之美少女）,hoshizora ikuyo
星空美幸（smile！光之美少女）,hoshizora miyuki
星空凛（LoveLive！）,hoshizora rin
保登心爱（请问您今天要来点兔子吗?）,hoto cocoa
北条响（Suite光之美少女）,houjou hibiki
北条沙都子（寒蝉鸣泣之时）,houjou satoko
北条悟史（寒蝉鸣泣之时）,houjou satoshi
北条时行（擅长逃跑的殿下）,houjou tokiyuki (nige jouzu no wakagimi)
封兽鵺（东方Project）,houjuu nue
凤联薮雨（连缘project）,houlen yabusame
凤凰寺风（魔法骑士）,hououji fuu
蓬莱人偶（东方project）,hourai doll
蓬莱山辉夜（东方project）,houraisan kaguya
凤翔（舰队Collection）,houshou (kancolle)
宝钟玛琳（VTuber）,houshou marine
宝钟玛琳-初始装（VTuber）,houshou marine (1st costume)
宝钟玛琳-职场女性（VTuber）,houshou marine (businesswoman)
宝钟玛琳-哥特洛丽塔（VTuber）,houshou marine (gothic lolita)
宝钟玛琳-仪乐队（VTuber）,houshou marine (marching band)
宝钟玛琳-夏装（VTuber）,houshou marine (summer)
休斯敦（舰队Collection）,houston (kancolle)
哈尔（哈尔的移动城堡）,howl (howl no ugoku shiro)
穗月枫（别当欧尼酱了）,hozuki kaede
穗月红叶（别当欧尼酱了）,hozuki momiji
胡桃-宿雪桃红（原神）,hu tao (cherries snow-laden) (genshin impact)
胡桃（原神）,hu tao (genshin impact)
花城（天官赐福）,hua cheng
黄宝铃（Tiger&Bunny）,huang baoling
凰铃音（Infinite Stratos）,huang lingyin
修伯特·冯·贝斯特拉（火焰纹章）,hubert von vestra
哈米（Suite 光之美少女）,hummy (suite precure)
吽（明日方舟）,hung (arknights)
匈牙利（黑塔利亚）,hungary (hetalia)
霍霍（崩坏：星穹铁道),huohuo (honkai  star rail)
壹百满天原莎乐美（VTuber）,hyakumantenbara salome
壹百满天原莎乐美-初始装（VTuber）,hyakumantenbara salome (1st costume)
希斯拉德（最终幻想）,hythlodaeus
日向（舰队Collection）,hyuuga (kancolle)
日向雏田（火影忍者）,hyuuga hinata
伊168（舰队Collection）,i-168 (kancolle)
伊19（舰队Collection）,i-19 (kancolle)
伊203（舰队Collection）,i-203 (kancolle)
伊26（舰队Collection）,i-26 (kancolle)
伊401（舰队Collection）,i-401 (kancolle)
伊47（舰队Collection）,i-47 (kancolle)
伊58（舰队Collection）,i-58 (kancolle)
伊8（舰队Collection）,i-8 (kancolle)
驱逐イ级（舰队Collection）,i-class destroyer
茵诺（罪恶装备）,i-no
IA（虚拟歌姬),ia (vocaloid)
伊布（ib),ib (ib)
伊原摩耶花（冰菓）,ibara mayaka
茨木童子（Fate),ibaraki douji (fate)
茨木童子-弓阶泳装（Fate),ibaraki douji (swimsuit lancer) (fate)
茨木华扇（东方project）,ibaraki kasen
丹花伊吹（蔚蓝档案）,ibuki (blue archive)
伊吹童子(Fate),ibuki douji (fate)
酒吞童子（Fate）,ibuki suika
伊吹翼（偶像大师）,ibuki tsubasa
市谷有咲（BanG Dream!）,ichigaya arisa
市原仁奈（偶像大师）,ichihara nina
栎井唯（悠悠式）,ichii yui
一条萤（悠哉日常大王）,ichijou hotaru
一条莉莉华（VTuber）,ichijou ririka
一条莉莉华-初始装（VTuber）,ichijou ririka (1st costume)
仲正一花（蔚蓝档案）,ichika (blue archive)
市川雏菜（偶像大师）,ichikawa hinana
市川京太郎（我心里危险的东西）,ichikawa kyoutarou
一之濑琴美（CLANNAD）,ichinose kotomi
一之濑实（Delicious Party ♡ 光之美少女）,ichinose minori
一之濑志希（偶像大师）,ichinose shiki
一之濑丽（VTuber）,ichinose uruha
伊帝亚•索罗德（迪士尼扭曲仙境）,idia shroud
